Kode Kemendagri,Kabupaten,Provinsi,Ibu Kota,Kecamatan,Kelurahan/Desa
11.12,Kabupaten Aceh Barat Daya,Aceh,Blangpidie,9,152
11.05,Kabupaten Aceh Barat,Aceh,Meulaboh,12,321
11.06,Kabupaten Aceh Besar,Aceh,Kota Jantho,23,609
11.14,Kabupaten Aceh Jaya,Aceh,Calang,9,172
11.01,Kabupaten Aceh Selatan,Aceh,Tapak Tuan,18,260
11.10,Kabupaten Aceh Singkil,Aceh,Singkil,11,116
11.16,Kabupaten Aceh Tamiang,Aceh,Karang Baru,12,128
11.04,Kabupaten Aceh Tengah,Aceh,Takengon,14,295
11.02,Kabupaten Aceh Tenggara,Aceh,Kutacane,16,385
11.03,Kabupaten Aceh Timur,Aceh,Idi Rayeuk,24,513
11.08,Kabupaten Aceh Utara,Aceh,Lhoksukon,27,852
13.06,Kabupaten Agam,Sumatra Barat,Lubuk Basung,16,82
53.05,Kabupaten Alor,Nusa Tenggara Timur,Kalabahi,17,175
12.09,Kabupaten Asahan,Sumatra Utara,Kisaran,25,204
91.18,Kabupaten Asmat,Papua Selatan,Agats,19,221
51.03,Kabupaten Badung,Bali,Mengwi,6,62
63.11,Kabupaten Balangan,Kalimantan Selatan,Paringin,8,157
32.17,Kabupaten Bandung Barat,Jawa Barat,Ngamprah,16,165
32.04,Kabupaten Bandung,Jawa Barat,Soreang,31,280
72.01,Kabupaten Banggai,Sulawesi Tengah,Luwuk,23,337
72.07,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Salakan,12,144
72.11,Kabupaten Banggai Laut,Sulawesi Tengah,Banggai,7,66
19.05,Kabupaten Bangka Barat,Kepulauan Bangka Belitung,"Mentok, Bangka Barat",6,64
19.03,Kabupaten Bangka Selatan,Kepulauan Bangka Belitung,"Toboali, Bangka Selatan",8,53
19.04,Kabupaten Bangka Tengah,Kepulauan Bangka Belitung,"Koba, Bangka Tengah",6,63
19.01,Kabupaten Bangka,Kepulauan Bangka Belitung,Sungai Liat,8,81
35.26,Kabupaten Bangkalan,Jawa Timur,Bangkalan,18,281
51.06,Kabupaten Bangli,Bali,Bangli,4,72
63.03,Kabupaten Banjar,Kalimantan Selatan,Martapura,20,290
33.04,Kabupaten Banjarnegara,Jawa Tengah,Banjarnegara,20,278
73.03,Kabupaten Bantaeng,Sulawesi Selatan,Bantaeng,8,67
34.02,Kabupaten Bantul,Yogyakarta,Kecamatan Bantul,17,75
16.07,Kabupaten Banyuasin,Sumatra Selatan,Pangkalan Balai,19,304
33.02,Kabupaten Banyumas,Jawa Tengah,Purwokerto,27,331
35.10,Kabupaten Banyuwangi,Jawa Timur,Banyuwangi,25,217
63.04,Kabupaten Barito Kuala,Kalimantan Selatan,Marabahan,17,201
62.04,Kabupaten Barito Selatan,Kalimantan Tengah,Buntok,6,93
62.13,Kabupaten Barito Timur,Kalimantan Tengah,Tamiang,10,103
62.05,Kabupaten Barito Utara,Kalimantan Tengah,Muara Teweh,9,103
73.11,Kabupaten Barru,Sulawesi Selatan,Barru,7,55
33.25,Kabupaten Batang,Jawa Tengah,Batang,15,248
15.04,Kabupaten Batanghari,Jambi,Muara Bulian,8,124
12.19,Kabupaten Batubara,Sumatra Utara,Limapuluh,7,151
32.16,Kabupaten Bekasi,Jawa Barat,Cikarang,23,187
19.06,Kabupaten Belitung Timur,Kepulauan Bangka Belitung,"Manggar, Belitung Timur",7,39
19.02,Kabupaten Belitung,Kepulauan Bangka Belitung,Tanjung Pandan,5,49
53.04,Kabupaten Belu,Nusa Tenggara Timur,Atambua,12,81
11.17,Kabupaten Bener Meriah,Aceh,Simpang Tiga Redelong,10,232
14.03,Kabupaten Bengkalis,Riau,Bengkalis,11,155
61.07,Kabupaten Bengkayang,Kalimantan Barat,Bengkayang,17,124
17.01,Kabupaten Bengkulu Selatan,Bengkulu,Kota Manna,11,158
